date,city,driving_waze,state
2021-12-16,Puchong,28.000000000000004,Selangor
2021-12-18,Puchong,9.0,Selangor
2021-12-19,Puchong,20.0,Selangor
2021-12-20,Puchong,41.0,Selangor
2021-12-21,Puchong,42.0,Selangor
2021-12-22,Puchong,26.0,Selangor
2021-12-23,Puchong,26.0,Selangor
2021-12-24,Puchong,28.000000000000004,Selangor
2021-12-25,Puchong,17.0,Selangor
2021-12-26,Puchong,16.0,Selangor
2021-12-27,Puchong,31.0,Selangor
2021-12-28,Puchong,25.0,Selangor
2021-12-29,Puchong,26.0,Selangor
2021-12-30,Puchong,10.0,Selangor
2021-12-31,Puchong,26.0,Selangor
2022-01-01,Puchong,2.0,Selangor
2022-01-02,Puchong,20.0,Selangor
2022-01-03,Puchong,28.000000000000004,Selangor
2022-01-04,Puchong,16.0,Selangor
2022-01-05,Puchong,24.0,Selangor
2022-01-06,Puchong,26.0,Selangor
2022-01-07,Puchong,21.0,Selangor
2022-01-08,Puchong,21.0,Selangor
2022-01-09,Puchong,23.0,Selangor
2022-01-10,Puchong,38.0,Selangor
2022-01-11,Puchong,28.000000000000004,Selangor
2022-01-12,Puchong,22.0,Selangor
2022-01-13,Puchong,24.0,Selangor
2022-01-14,Puchong,23.0,Selangor
2022-01-15,Puchong,25.0,Selangor
2022-01-16,Puchong,23.0,Selangor
2022-01-17,Puchong,31.0,Selangor
2022-01-18,Puchong,25.0,Selangor
2022-01-19,Puchong,44.0,Selangor
2022-01-20,Puchong,27.0,Selangor
2022-01-21,Puchong,17.0,Selangor
2022-01-22,Puchong,27.0,Selangor
2022-01-23,Puchong,23.0,Selangor
2022-01-24,Puchong,22.0,Selangor
2022-01-25,Puchong,42.0,Selangor
2022-01-26,Puchong,43.0,Selangor
2020-03-01,Shah Alam,11.0,Selangor
2020-03-02,Shah Alam,4.0,Selangor
2020-03-03,Shah Alam,9.0,Selangor
2020-03-04,Shah Alam,4.0,Selangor
2020-03-05,Shah Alam,4.0,Selangor
2020-03-06,Shah Alam,1.0,Selangor
2020-03-07,Shah Alam,2.0,Selangor
2020-03-08,Shah Alam,3.0,Selangor
2020-03-09,Shah Alam,1.0,Selangor
2020-03-10,Shah Alam,4.0,Selangor
2020-03-11,Shah Alam,4.0,Selangor
2020-03-12,Shah Alam,-1.0,Selangor
2020-03-13,Shah Alam,-5.0,Selangor
2020-03-14,Shah Alam,-19.0,Selangor
2020-03-15,Shah Alam,-4.0,Selangor
2020-03-16,Shah Alam,-5.0,Selangor
2020-03-17,Shah Alam,8.0,Selangor
2020-03-18,Shah Alam,-55.00000000000001,Selangor
2020-03-19,Shah Alam,-69.0,Selangor
2020-03-20,Shah Alam,-77.0,Selangor
2020-03-21,Shah Alam,-80.0,Selangor
2020-03-22,Shah Alam,-87.0,Selangor
2020-03-23,Shah Alam,-86.0,Selangor
2020-03-24,Shah Alam,-81.0,Selangor
2020-03-25,Shah Alam,-77.0,Selangor
2020-03-26,Shah Alam,-77.0,Selangor
2020-03-27,Shah Alam,-80.0,Selangor
2020-03-28,Shah Alam,-84.0,Selangor
2020-03-29,Shah Alam,-84.0,Selangor
2020-03-30,Shah Alam,-74.0,Selangor
2020-03-31,Shah Alam,-77.0,Selangor
2020-04-01,Shah Alam,-77.0,Selangor
2020-04-02,Shah Alam,-79.0,Selangor
2020-04-03,Shah Alam,-82.0,Selangor
2020-04-04,Shah Alam,-89.0,Selangor
2020-04-05,Shah Alam,-86.0,Selangor
2020-04-06,Shah Alam,-78.0,Selangor
2020-04-07,Shah Alam,-78.0,Selangor
2020-04-08,Shah Alam,-78.0,Selangor
2020-04-09,Shah Alam,-79.0,Selangor
2020-04-10,Shah Alam,-81.0,Selangor
2020-04-11,Shah Alam,-85.0,Selangor
2020-04-12,Shah Alam,-85.0,Selangor
2020-04-13,Shah Alam,-74.0,Selangor
2020-04-14,Shah Alam,-76.0,Selangor
2020-04-15,Shah Alam,-76.0,Selangor
2020-04-16,Shah Alam,-78.0,Selangor
2020-04-17,Shah Alam,-79.0,Selangor
2020-04-18,Shah Alam,-85.0,Selangor
2020-04-19,Shah Alam,-84.0,Selangor
2020-04-20,Shah Alam,-76.0,Selangor
2020-04-21,Shah Alam,-76.0,Selangor
2020-04-22,Shah Alam,-76.0,Selangor
2020-04-23,Shah Alam,-73.0,Selangor
2020-04-24,Shah Alam,-80.0,Selangor
2020-04-25,Shah Alam,-82.0,Selangor
2020-04-26,Shah Alam,-80.0,Selangor
2020-04-27,Shah Alam,-72.0,Selangor
2020-04-28,Shah Alam,-73.0,Selangor
2020-04-29,Shah Alam,-72.0,Selangor
2020-04-30,Shah Alam,-72.0,Selangor
2020-05-01,Shah Alam,-81.0,Selangor
2020-05-02,Shah Alam,-79.0,Selangor
2020-05-03,Shah Alam,-76.0,Selangor
2020-05-04,Shah Alam,-54.0,Selangor
2020-05-05,Shah Alam,-53.0,Selangor
2020-05-06,Shah Alam,-49.0,Selangor
2020-05-07,Shah Alam,-62.0,Selangor
2020-05-08,Shah Alam,-53.0,Selangor
2020-05-09,Shah Alam,-56.00000000000001,Selangor
2020-05-10,Shah Alam,-60.0,Selangor
2020-05-11,Shah Alam,-53.0,Selangor
2020-05-12,Shah Alam,-40.0,Selangor
2020-05-13,Shah Alam,-39.0,Selangor
2020-05-14,Shah Alam,-41.0,Selangor
2020-05-15,Shah Alam,-44.0,Selangor
2020-05-16,Shah Alam,-49.0,Selangor
2020-05-17,Shah Alam,-52.0,Selangor
2020-05-18,Shah Alam,-31.0,Selangor
2020-05-19,Shah Alam,-35.0,Selangor
2020-05-20,Shah Alam,-25.0,Selangor
2020-05-21,Shah Alam,-27.0,Selangor
2020-05-22,Shah Alam,-40.0,Selangor
