date,city,congestion,diffRatio
2020-04-14,Kuala Lumpur,2,-0.935483870967742
2020-04-15,Kuala Lumpur,2,-0.935483870967742
2020-04-16,Kuala Lumpur,2,-0.9393939393939394
2020-04-17,Kuala Lumpur,2,-0.9473684210526316
2020-04-18,Kuala Lumpur,0,-1.0
2020-04-19,Kuala Lumpur,0,-1.0
2020-04-20,Kuala Lumpur,2,-0.925925925925926
2020-04-21,Kuala Lumpur,1,-0.967741935483871
2020-04-22,Kuala Lumpur,4,-0.8709677419354839
2020-04-23,Kuala Lumpur,4,-0.8787878787878788
2020-04-24,Kuala Lumpur,2,-0.9473684210526316
2020-04-25,Kuala Lumpur,1,-0.96
2020-04-26,Kuala Lumpur,0,-1.0
2020-04-27,Kuala Lumpur,3,-0.8888888888888888
2020-04-28,Kuala Lumpur,3,-0.9032258064516128
2020-04-29,Kuala Lumpur,3,-0.9032258064516128
2020-04-30,Kuala Lumpur,3,-0.9090909090909092
2020-05-01,Kuala Lumpur,1,-0.9736842105263158
2020-05-02,Kuala Lumpur,1,-0.96
2020-05-03,Kuala Lumpur,0,-1.0
2020-05-04,Kuala Lumpur,2,-0.925925925925926
2020-05-05,Kuala Lumpur,2,-0.935483870967742
2020-05-06,Kuala Lumpur,2,-0.935483870967742
2020-05-07,Kuala Lumpur,1,-0.9696969696969696
2020-05-08,Kuala Lumpur,3,-0.9210526315789472
2020-05-09,Kuala Lumpur,1,-0.96
2020-05-10,Kuala Lumpur,0,-1.0
2020-05-11,Kuala Lumpur,1,-0.9629629629629628
2020-05-12,Kuala Lumpur,6,-0.8064516129032258
2020-05-13,Kuala Lumpur,7,-0.7741935483870968
2020-05-14,Kuala Lumpur,7,-0.7878787878787878
2020-05-15,Kuala Lumpur,6,-0.8421052631578947
2020-05-16,Kuala Lumpur,6,-0.76
2020-05-17,Kuala Lumpur,0,-1.0
2020-05-18,Kuala Lumpur,9,-0.6666666666666666
2020-05-19,Kuala Lumpur,9,-0.7096774193548387
2020-05-20,Kuala Lumpur,8,-0.7419354838709677
2020-05-21,Kuala Lumpur,7,-0.7878787878787878
2020-05-22,Kuala Lumpur,9,-0.7631578947368421
2020-05-23,Kuala Lumpur,3,-0.88
2020-05-24,Kuala Lumpur,0,-1.0
2020-05-25,Kuala Lumpur,0,-1.0
2020-05-26,Kuala Lumpur,0,-1.0
2020-05-27,Kuala Lumpur,3,-0.9032258064516128
2020-05-28,Kuala Lumpur,4,-0.8787878787878788
2020-05-29,Kuala Lumpur,6,-0.8421052631578947
2020-05-30,Kuala Lumpur,3,-0.88
2020-05-31,Kuala Lumpur,0,-1.0
2020-06-01,Kuala Lumpur,7,-0.7407407407407407
2020-06-02,Kuala Lumpur,6,-0.8064516129032258
2020-06-03,Kuala Lumpur,9,-0.7096774193548387
2020-06-04,Kuala Lumpur,9,-0.7272727272727273
2020-06-05,Kuala Lumpur,8,-0.7894736842105263
2020-06-06,Kuala Lumpur,4,-0.84
2020-06-07,Kuala Lumpur,0,-1.0
2020-06-08,Kuala Lumpur,0,-1.0
2020-06-09,Kuala Lumpur,11,-0.6451612903225806
2020-06-10,Kuala Lumpur,15,-0.5161290322580645
2020-06-13,Kuala Lumpur,6,-0.76
2020-06-14,Kuala Lumpur,1,-0.9166666666666666
2020-06-15,Kuala Lumpur,11,-0.5925925925925926
2020-06-16,Kuala Lumpur,13,-0.5806451612903226
2020-06-17,Kuala Lumpur,15,-0.5161290322580645
2020-06-18,Kuala Lumpur,17,-0.4848484848484849
2020-06-19,Kuala Lumpur,20,-0.4736842105263158
2020-06-20,Kuala Lumpur,9,-0.64
2020-06-21,Kuala Lumpur,1,-0.9166666666666666
2020-06-22,Kuala Lumpur,11,-0.5925925925925926
2020-06-23,Kuala Lumpur,14,-0.5483870967741935
2020-06-24,Kuala Lumpur,16,-0.4838709677419355
2020-06-25,Kuala Lumpur,13,-0.6060606060606061
2020-06-26,Kuala Lumpur,17,-0.5526315789473685
2020-06-27,Kuala Lumpur,8,-0.68
2020-06-28,Kuala Lumpur,2,-0.8333333333333334
2020-06-29,Kuala Lumpur,12,-0.5555555555555556
2020-06-30,Kuala Lumpur,14,-0.5483870967741935
2020-07-01,Kuala Lumpur,17,-0.4516129032258064
2020-07-02,Kuala Lumpur,16,-0.5151515151515151
2020-07-03,Kuala Lumpur,20,-0.4736842105263158
2020-07-04,Kuala Lumpur,13,-0.48
2020-07-05,Kuala Lumpur,7,-0.4166666666666667
2020-07-06,Kuala Lumpur,23,-0.1481481481481481
2020-07-07,Kuala Lumpur,23,-0.2580645161290322
2020-07-08,Kuala Lumpur,19,-0.3870967741935484
2020-07-09,Kuala Lumpur,18,-0.4545454545454545
2020-07-10,Kuala Lumpur,23,-0.3947368421052632
2020-07-11,Kuala Lumpur,14,-0.44
2020-07-12,Kuala Lumpur,5,-0.5833333333333334
2020-07-13,Kuala Lumpur,21,-0.2222222222222222
2020-07-14,Kuala Lumpur,16,-0.4838709677419355
2020-07-15,Kuala Lumpur,19,-0.3870967741935484
2020-07-16,Kuala Lumpur,23,-0.303030303030303
2020-07-17,Kuala Lumpur,25,-0.3421052631578947
2020-07-18,Kuala Lumpur,18,-0.28
2020-07-19,Kuala Lumpur,5,-0.5833333333333334
2020-07-20,Kuala Lumpur,19,-0.2962962962962963
2020-07-21,Kuala Lumpur,20,-0.3548387096774194
2020-07-22,Kuala Lumpur,26,-0.1612903225806451
2020-07-23,Kuala Lumpur,25,-0.2424242424242425
2020-07-24,Kuala Lumpur,31,-0.1842105263157894
2020-07-25,Kuala Lumpur,18,-0.28
2020-07-26,Kuala Lumpur,5,-0.5833333333333334
2020-07-27,Kuala Lumpur,25,-0.074074074074074
2020-07-28,Kuala Lumpur,23,-0.2580645161290322
2020-07-29,Kuala Lumpur,28,-0.0967741935483871
2020-07-30,Kuala Lumpur,13,-0.6060606060606061
2020-07-31,Kuala Lumpur,2,-0.9473684210526316
2020-08-01,Kuala Lumpur,1,-0.96
2020-08-02,Kuala Lumpur,0,-1.0
2020-08-03,Kuala Lumpur,11,-0.5925925925925926
2020-08-04,Kuala Lumpur,17,-0.4516129032258064
2020-08-05,Kuala Lumpur,19,-0.3870967741935484
2020-08-06,Kuala Lumpur,20,-0.3939393939393939
2020-08-07,Kuala Lumpur,23,-0.3947368421052632
2020-08-08,Kuala Lumpur,16,-0.36
2020-08-09,Kuala Lumpur,4,-0.6666666666666666
2020-08-10,Kuala Lumpur,21,-0.2222222222222222
2020-08-11,Kuala Lumpur,25,-0.1935483870967742
2020-08-12,Kuala Lumpur,23,-0.2580645161290322
2020-08-13,Kuala Lumpur,22,-0.3333333333333333
2020-08-14,Kuala Lumpur,29,-0.2368421052631579
2020-08-15,Kuala Lumpur,14,-0.44
2020-08-16,Kuala Lumpur,7,-0.4166666666666667
2020-08-17,Kuala Lumpur,21,-0.2222222222222222
2020-08-18,Kuala Lumpur,21,-0.3225806451612903
2020-08-19,Kuala Lumpur,35,0.1290322580645161
2020-08-20,Kuala Lumpur,5,-0.8484848484848485
2020-08-21,Kuala Lumpur,15,-0.6052631578947368
2020-08-22,Kuala Lumpur,10,-0.6
2020-08-23,Kuala Lumpur,4,-0.6666666666666666
2020-08-24,Kuala Lumpur,19,-0.2962962962962963
2020-08-25,Kuala Lumpur,27,-0.1290322580645161
2020-08-26,Kuala Lumpur,29,-0.064516129032258
2020-08-27,Kuala Lumpur,27,-0.1818181818181818
2020-08-28,Kuala Lumpur,29,-0.2368421052631579
2020-08-29,Kuala Lumpur,20,-0.2
2020-08-30,Kuala Lumpur,7,-0.4166666666666667
2020-08-31,Kuala Lumpur,6,-0.7777777777777778
2020-09-01,Kuala Lumpur,24,-0.2258064516129032
2020-09-02,Kuala Lumpur,32,0.032258064516129
2020-09-03,Kuala Lumpur,35,0.0606060606060606
2020-09-04,Kuala Lumpur,47,0.2368421052631579
2020-09-05,Kuala Lumpur,21,-0.16
2020-09-06,Kuala Lumpur,6,-0.5
2020-09-07,Kuala Lumpur,25,-0.074074074074074
2020-09-08,Kuala Lumpur,26,-0.1612903225806451
2020-09-09,Kuala Lumpur,29,-0.064516129032258
2020-09-10,Kuala Lumpur,37,0.1212121212121212
2020-09-11,Kuala Lumpur,31,-0.1842105263157894
2020-09-12,Kuala Lumpur,16,-0.36
2020-09-13,Kuala Lumpur,5,-0.5833333333333334
2020-09-14,Kuala Lumpur,28,0.037037037037037
2020-09-15,Kuala Lumpur,28,-0.0967741935483871
2020-09-16,Kuala Lumpur,5,-0.8387096774193549
2020-09-17,Kuala Lumpur,22,-0.3333333333333333
2020-09-18,Kuala Lumpur,23,-0.3947368421052632
2020-09-19,Kuala Lumpur,14,-0.44
2020-09-20,Kuala Lumpur,9,-0.25
2020-09-21,Kuala Lumpur,29,0.074074074074074
2020-09-22,Kuala Lumpur,30,-0.032258064516129
2020-09-23,Kuala Lumpur,28,-0.0967741935483871
2020-09-24,Kuala Lumpur,27,-0.1818181818181818
2020-09-25,Kuala Lumpur,34,-0.1052631578947368
2020-09-26,Kuala Lumpur,22,-0.12
2020-09-27,Kuala Lumpur,6,-0.5
2020-09-28,Kuala Lumpur,21,-0.2222222222222222
2020-09-29,Kuala Lumpur,22,-0.2903225806451613
2020-09-30,Kuala Lumpur,23,-0.2580645161290322
2020-10-01,Kuala Lumpur,39,0.1818181818181818
2020-10-02,Kuala Lumpur,23,-0.3947368421052632
2020-10-03,Kuala Lumpur,10,-0.6
2020-10-04,Kuala Lumpur,2,-0.8333333333333334
2020-10-05,Kuala Lumpur,20,-0.2592592592592592
2020-10-06,Kuala Lumpur,17,-0.4516129032258064
2020-10-07,Kuala Lumpur,18,-0.4193548387096774
2020-10-08,Kuala Lumpur,19,-0.4242424242424242
2020-10-09,Kuala Lumpur,14,-0.631578947368421
2020-10-10,Kuala Lumpur,6,-0.76
2020-10-11,Kuala Lumpur,1,-0.9166666666666666
2020-10-12,Kuala Lumpur,10,-0.6296296296296297
2020-10-13,Kuala Lumpur,31,0.0
2020-10-14,Kuala Lumpur,6,-0.8064516129032258
2020-10-15,Kuala Lumpur,3,-0.9090909090909092
2020-10-16,Kuala Lumpur,4,-0.8947368421052632
2020-10-17,Kuala Lumpur,0,-1.0
2020-10-18,Kuala Lumpur,0,-1.0
2020-10-19,Kuala Lumpur,5,-0.8148148148148148
2020-10-20,Kuala Lumpur,6,-0.8064516129032258
2020-10-21,Kuala Lumpur,8,-0.7419354838709677
2020-10-22,Kuala Lumpur,3,-0.9090909090909092
2020-10-23,Kuala Lumpur,2,-0.9473684210526316
2020-10-24,Kuala Lumpur,1,-0.96
2020-10-25,Kuala Lumpur,0,-1.0
2020-10-26,Kuala Lumpur,4,-0.8518518518518519
2020-10-27,Kuala Lumpur,5,-0.8387096774193549
2020-10-28,Kuala Lumpur,7,-0.7741935483870968
2020-10-29,Kuala Lumpur,1,-0.9696969696969696
2020-10-30,Kuala Lumpur,7,-0.8157894736842105
2020-10-31,Kuala Lumpur,5,-0.8
2020-11-01,Kuala Lumpur,0,-1.0
2020-11-02,Kuala Lumpur,8,-0.7037037037037037
2020-11-03,Kuala Lumpur,8,-0.7419354838709677
2020-11-04,Kuala Lumpur,9,-0.7096774193548387
2020-11-05,Kuala Lumpur,6,-0.8181818181818182
2020-11-06,Kuala Lumpur,8,-0.7894736842105263
2020-11-07,Kuala Lumpur,5,-0.8
2020-11-08,Kuala Lumpur,0,-1.0
2020-11-09,Kuala Lumpur,7,-0.7407407407407407
2020-11-10,Kuala Lumpur,7,-0.7741935483870968
2020-11-11,Kuala Lumpur,9,-0.7096774193548387
2020-11-12,Kuala Lumpur,8,-0.7575757575757576
2020-11-13,Kuala Lumpur,12,-0.6842105263157895
2020-11-14,Kuala Lumpur,1,-0.96
2020-11-15,Kuala Lumpur,2,-0.8333333333333334
2020-11-16,Kuala Lumpur,8,-0.7037037037037037
2020-11-17,Kuala Lumpur,13,-0.5806451612903226
2020-11-18,Kuala Lumpur,12,-0.6129032258064516
2020-11-19,Kuala Lumpur,9,-0.7272727272727273
2020-11-20,Kuala Lumpur,12,-0.6842105263157895
2020-11-21,Kuala Lumpur,10,-0.6
2020-11-22,Kuala Lumpur,1,-0.9166666666666666
2020-11-23,Kuala Lumpur,11,-0.5925925925925926
2020-11-24,Kuala Lumpur,13,-0.5806451612903226
2020-11-25,Kuala Lumpur,10,-0.6774193548387096
2020-11-26,Kuala Lumpur,11,-0.6666666666666666
2020-11-27,Kuala Lumpur,13,-0.6578947368421053
2020-11-28,Kuala Lumpur,9,-0.64
2020-11-29,Kuala Lumpur,1,-0.9166666666666666
2020-11-30,Kuala Lumpur,11,-0.5925925925925926
2020-12-01,Kuala Lumpur,13,-0.5806451612903226
2020-12-02,Kuala Lumpur,13,-0.5806451612903226
2020-12-03,Kuala Lumpur,28,-0.1515151515151515
2020-12-04,Kuala Lumpur,28,-0.2631578947368421
2020-12-05,Kuala Lumpur,25,0.0
2020-12-06,Kuala Lumpur,16,0.3333333333333333
2020-12-07,Kuala Lumpur,28,0.037037037037037
2020-12-08,Kuala Lumpur,25,-0.1935483870967742
2020-12-09,Kuala Lumpur,28,-0.0967741935483871
2020-12-10,Kuala Lumpur,28,-0.1515151515151515
2020-12-11,Kuala Lumpur,21,-0.4473684210526316
2020-12-12,Kuala Lumpur,21,-0.16
2020-12-13,Kuala Lumpur,14,0.1666666666666666
2020-12-14,Kuala Lumpur,25,-0.074074074074074
2020-12-15,Kuala Lumpur,29,-0.064516129032258
2020-12-16,Kuala Lumpur,31,0.0
2020-12-17,Kuala Lumpur,32,-0.0303030303030303
2020-12-18,Kuala Lumpur,32,-0.1578947368421052
2020-12-19,Kuala Lumpur,25,0.0
2020-12-20,Kuala Lumpur,14,0.1666666666666666
2020-12-21,Kuala Lumpur,26,-0.037037037037037
2020-12-22,Kuala Lumpur,27,-0.1290322580645161
2020-12-23,Kuala Lumpur,29,-0.064516129032258
2020-12-24,Kuala Lumpur,33,0.0
2020-12-25,Kuala Lumpur,15,-0.6052631578947368
2020-12-26,Kuala Lumpur,21,-0.16
2020-12-27,Kuala Lumpur,14,0.1666666666666666
2020-12-28,Kuala Lumpur,27,0.0
2020-12-29,Kuala Lumpur,35,0.1290322580645161
2020-12-30,Kuala Lumpur,30,-0.032258064516129
2020-12-31,Kuala Lumpur,34,0.0303030303030303
2021-01-04,Kuala Lumpur,25,-0.074074074074074
2021-01-05,Kuala Lumpur,30,-0.032258064516129
2021-01-06,Kuala Lumpur,28,-0.0967741935483871
2021-01-07,Kuala Lumpur,27,-0.1818181818181818
2021-01-08,Kuala Lumpur,29,-0.2368421052631578
2021-01-09,Kuala Lumpur,24,-0.04
2021-01-10,Kuala Lumpur,15,0.25
2021-01-11,Kuala Lumpur,26,-0.037037037037037
2021-01-12,Kuala Lumpur,53,0.7096774193548387
2021-01-13,Kuala Lumpur,15,-0.5161290322580645
2021-01-14,Kuala Lumpur,15,-0.5454545454545454
2021-01-15,Kuala Lumpur,16,-0.5789473684210527
2021-01-16,Kuala Lumpur,12,-0.52
2021-01-17,Kuala Lumpur,9,-0.25
2021-01-18,Kuala Lumpur,18,-0.3333333333333333
